Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 21695206;Электрический термоклеевой пистолет KRAFTOOL Grand 200 06839;"
    2 750 р.

    ";"
    В наличии
    23
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-termokleevoj-pistolet-kraftool-grand-200-06839-3189620/
код: 16394315;Клеевой пистолет Gigant GG-50;"
    355 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-gigant-gg-50-1455383/
код: 15073305;Термоклеевой пистолет СПЕЦ БПК-60 СПЕЦ-3234;"
    269 р.

    ";"
    В наличии
    77
    шт.
  ";https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-spets-bpk-60-spets-3234-670190/
код: 16749523;Клеевой пистолет Gigant GG-40;"
    1 243 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-gigant-gg-40-1662714/
код: 21694918;Электрический термоклеевой пистолет STAYER Pro 7 0681-07;"
    535 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-termokleevoj-pistolet-stayer-pro-7-0681-07-3184292/
код: 16026465;Клеевой пистолет СОЮЗ КПС-2461В 90Вт;"
    369 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-soyuz-kps-2461v-90vt-1122399/
код: 15512253;Термоклеящий пистолет KRAFTOOL Pro 06843-300-12;"
    14 732 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-kraftool-pro-06843-300-12-730570/
код: 20210746;Электрический термоклеевой пистолет KRAFTOOL Industrial 300 06842;"
    6 911 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-termokleevoj-pistolet-kraftool-industrial-300-06842-2616476/
код: 16197376;Клеевой пистолет REXANT ЭКСПЕРТ 20 Вт, Ø7 мм 12-1510;"
    687 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-ekspert-20-vt-7-mm-12-1510-1289143/
код: 15906889;Клеевой пистолет Rexant 15 Вт 12-0113;"
    338 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-15-vt-12-0113-974467/
код: 16394316;Клеевой пистолет Gigant GG-60;"
    256 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-gigant-gg-60-1455404/
код: 15985969;Клеевой пистолет Einhell PXC TE-CG 18 Li-Solo 4522200;"
    2 827 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-einhell-pxc-te-cg-18-li-solo-4522200-1113549/
код: 15873146;Клеевой пистолет Einhell TC-GG 30 4522170;"
    1 203 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-einhell-tc-gg-30-4522170-950297/
код: 16169671;Термоклеевой пистолет ELMOS EGG 230 e70 012;"
    708 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-elmos-egg-230-e70-012-1258559/
код: 15617140;Клеевой пистолет СОЮЗ КПС-24600;"
    349 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-soyuz-kps-24600-802273/
код: 16324952;Клеевой пистолет Engy EGG-40 с подставкой, 40 Вт 357116;"
    249 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-engy-egg-40-s-podstavkoj-40-vt-357116-1395284/
код: 16324953;Клеевой пистолет с подставкой Engy EGG-80 80 Вт 357118;"
    319 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-s-podstavkoj-engy-egg-80-80-vt-357118-1395285/
код: 15906915;Клеевой пистолет Rexant 100 Вт 12-0105;"
    485 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-100-vt-12-0105-974465/
код: 16025476;Клеевой пистолет Sturm GG2471SB;"
    960 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sturm-gg2471sb-1120669/
код: 15867141;Клеевой пистолет BRAUBERG 670322;"
    266 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-brauberg-670322-947379/
код: 16743436;Клеевой пистолет BRAUBERG 671053;"
    419 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-brauberg-671053-1653639/
код: 15985526;Аккумуляторный клеевой пистолет REDVERG RD-GG3,6V 6632719;"
    3 110 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornyj-kleevoj-pistolet-redverg-rd-gg3-6v-6632719-1104613/
код: 15422650;Электрический термоклеящий пистолет STAYER PROFI 2-06801-60-11_z01;"
    817 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-termokleyaschij-pistolet-stayer-profi-2-06801-60-11-z01-1261739/
код: 16504668;Клеевой термопистолет DEKO DKGG100 100Вт, SET4, подставка, набор клеевых стержней 063-4971;"
    893 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg100-100vt-set4-podstavka-nabor-kleevyh-sterzhnej-063-4971-1762278/
код: 15422649;Электрический термоклеящий пистолет STAYER PROFI 0680-11_z01;"
    546 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/elektricheskij-termokleyaschij-pistolet-stayer-profi-0680-11-z01-1261740/
код: 15939896;Клеевой пистолет Proconnect 40Вт 12-0103;"
    308 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-proconnect-40vt-12-0103-1065956/
код: 15782303;Клеевая ручка Bosch Gluey, розовая 0.603.2A2.103;"
    2 820 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevaya-ruchka-bosch-gluey-rozovaya-0-603-2a2-103-891628/
код: 38852;Термоклеевой пистолет Steinel GLUEMATIC 3002;"
    1 883 р.

    ";"
    В наличии
    8
    шт.
  ";https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-steinel-gluematic-3002-38852/
код: 15603389;Клеевой электрический пистолет TOPEX 42E522;"
    639 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-elektricheskij-pistolet-topex-42e522-794615/
код: 16743326;Клеевой пистолет BRAUBERG 671051;"
    307 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-brauberg-671051-1653636/
код: 21695200;Электрический термоклеевой пистолет STAYER Pro 11 0681-20;"
    777 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/elektricheskij-termokleevoj-pistolet-stayer-pro-11-0681-20-3184250/
код: 15542221;Клеевой пистолет TOPEX 11 мм 42E501;"
    289 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-topex-11-mm-42e501-771204/
код: 16169673;Термоклеевой пистолет ELMOS EGG 150 t140-220 e70 005;"
    2 208 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-elmos-egg-150-t140-220-e70-005-1258557/
код: 15851803;Клеевой пистолет Kolner KGG 11/70;"
    557 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kolner-kgg-11-70-925254/
код: 16169675;Термоклеевой пистолет ELMOS EGG 140 t100-200 e70 004;"
    1 656 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-elmos-egg-140-t100-200-e70-004-1258667/
код: 18788616;Клеевой пистолет Kolner KGG 11/80 80Вт, клеевые стержни 11мм, кн11-80;"
    599 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kolner-kgg-11-80-80vt-kleevye-sterzhni-11mm-kn11-80-1926568/
код: 16324951;Клеевой пистолет Engy EGG-10 10 Вт, с подставкой 357114;"
    158 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-engy-egg-10-10-vt-s-podstavkoj-357114-1395283/
код: 15851823;Клеевой пистолет СТАВР ПК-11/200 ст11-200пк;"
    1 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-stavr-pk-11-200-st11-200pk-925233/
код: 15541196;Клеевой пистолет TOPEX 11 мм 42E521;"
    1 081 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-topex-11-mm-42e521-770211/
код: 16197360;Клеевой пистолет REXANT ЭКСПЕРТ 12-1550;"
    2 710 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-ekspert-12-1550-1298461/
код: 25179951;Клеевой пистолет Вихрь КП-11 73/5/6/2;"
    410 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kp-11-vihr-73-5-6-2-7259852/
код: 16749517;Клеевой пистолет Gigant GG-20;"
    575 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-gigant-gg-20-1662711/
код: 16504258;Клеевой термопистолет DEKO DKGG150 150ВТ, SET4, с функцией THERMAL CONTROL, подставка, набор 063-4974;"
    1 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg150-150vt-set4-s-funktsiej-thermal-control-podstavka-nabor-063-4974-1762011/
код: 15545016;Клеевой пистолет Зубр МАСТЕР 06850-20-08_z02;"
    609 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-zubr-master-06850-20-08-z02-756266/
код: 16301326;Клеевой пистолет HAMMER Flex GN-05 273272;"
    890 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-hammer-flex-gn-05-273272-1370561/
код: 15749320;Клеевой электрический пистолет Top Tools 42E500;"
    497 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-elektricheskij-pistolet-top-tools-42e500-875482/
код: 25179909;Клеевой пистолет Вихрь КП-7 73/5/6/1;"
    294 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kp-7-vihr-73-5-6-1-7259864/
код: 16301327;Клеевой пистолет HAMMER Flex GN-06 273271;"
    2 120 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-hammer-flex-gn-06-273271-1370563/
код: 15738230;Термоклеящий пистолет Biber 60121 тов-090515;"
    475 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-biber-60121-tov-090515-870589/
код: 25178475;Клеевой пистолет КВТ КП-200-11 87968;"
    1 846 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-kleevoj-kp-200-11-kvt-87968-6776611/
код: 15843718;Клеевой пистолет Энкор PT20 7 мм 50345;"
    720 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-enkor-pt20-7-mm-50345-917316/
код: 20238046;Термоклеевой пистолет FUBAG PRG 100 41140;"
    700 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-fubag-prg-100-41140-2152445/
код: 15422648;Термоклеящий пистолет STAYER MASTER 2-06801-10-07_z01;"
    372 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-stayer-master-2-06801-10-07-z01-1080347/
код: 16197123;Клеевой пистолет REXANT ЭКСПЕРТ 12-1530;"
    1 130 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-ekspert-12-1530-1298447/
код: 16219453;Клеевой пистолет Энергомаш 200 Вт ПК-200;"
    850 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-energomash-200-vt-pk-200-1314451/
код: 16504205;Клеевой термопистолет DEKO DKGG120 120ВТ SET1063-4975;"
    658 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg120-120vt-set1063-4975-1762288/
код: 15758679;Клеевой электрический пистолет Top Tools 42E581;"
    290 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-elektricheskij-pistolet-top-tools-42e581-875483/
код: 16505791;Клеевой пистолет FIT 60 Вт /100 Вт 14358;"
    1 760 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-fit-60-vt-100-vt-14358-1579090/
код: 16504264;Клеевой термопистолет DEKO DKGG110 110Вт, SET 1, с функцией THERMAL CONTROL, набор клеевых стержней 063-4972 ;"
    1 185 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg110-110vt-set-1-s-funktsiej-thermal-control-nabor-kleevyh-sterzhnej-063-4972-1762272/
код: 16504468;Клеевой пистолет DEKO DKGG30 063-4963;"
    186 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-deko-dkgg30-063-4963-1735638/
код: 15262148;Клеевой пистолет Калибр ТКП-30 00000046748;"
    244 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kalibr-tkp-30-00000046748-669344/
код: 20626540;Термоклеевой пистолет для стержней Mebax Kleyman 350 00-00001539;"
    27 042 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-dlya-sterzhnej-mebax-kleyman-350-00-00001539-2248600/
код: 15252863;Клеевой пистолет Sturm GG2470C1;"
    1 490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sturm-gg2470c1-547440/
код: 15985992;Клеевой пистолет Einhell TC-CG 3.6/1 Li 4522190;"
    1 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-einhell-tc-cg-3-6-1-li-4522190-1113543/
код: 15920022;Клеевой пистолет Rexant 11мм 12-0111;"
    1 335 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-11mm-12-0111-991547/
код: 16197259;Аккумуляторный клеевой пистолет REXANT ЭКСПЕРТ 12-1501;"
    1 630 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-kleevoj-pistolet-rexant-ekspert-12-1501-1289144/
код: 20237902;Термоклеевой пистолет FUBAG PRG 200 41141;"
    1 310 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-fubag-prg-200-41141-2152447/
код: 15541556;Клеевой пистолет 11 мм, 25 Вт TOPEX 42E503;"
    901 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-11-mm-25-vt-topex-42e503-756576/
код: 16504403;Клеевой термопистолет DEKO DKGG120 120ВТ, SET2, c набором стержней 063-4976;"
    843 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg120-120vt-set2-c-naborom-sterzhnej-063-4976-1762291/
код: 15949852;Аккумуляторная клеевая ручка Bosch Gluey Master Pack 06032A2105;"
    14 866 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornaya-kleevaya-ruchka-bosch-gluey-master-pack-06032a2105-1099404/
код: 22405041;Клеевой пистолет SPARTA 93016;"
    355 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sparta-93016-4104846/
код: 22675641;Клеевой пистолет GROSSMEISTER D11 мм, 40W 014001002;"
    433 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-grossmeister-d11-mm-40w-014001002-4203744/
код: 15947326;Клеевой пистолет PROCONNECT 12-0102;"
    166 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-proconnect-12-0102-1096927/
код: 15867142;Клеевой пистолет BRAUBERG 670324;"
    360 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-brauberg-670324-947381/
код: 16629308;Аккумуляторный клеевой пистолет REXANT ЭКСПЕРТ 12-1553;"
    3 341 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-kleevoj-pistolet-rexant-ekspert-12-1553-1620447/
код: 20828559;Клеевой пистолет TDM КП-150 SQ1024-0104;"
    1 480 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-tdm-kp-150-sq1024-0104-2856842/
код: 25178463;Клеевой пистолет КВТ КП-60-11 87966;"
    1 354 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-kleevoj-kp-60-11-kvt-87966-6776545/
код: 25178427;Клеевой пистолет КВТ КП-100-11 87967;"
    1 342 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-kleevoj-kp-100-11-kvt-87967-6775891/
код: 15843717;Клеевой пистолет Энкор PT40 11 мм 50346;"
    885 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-enkor-pt40-11-mm-50346-917318/
код: 15832732;Клеевой пистолет ProsKit GK-368 00301884;"
    3 401 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-proskit-gk-368-00301884-909393/
код: 17413392;Клеевой термопистолет DEKO DKGG30 30Вт SET5 с набором 063-4981;"
    410 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg30-30vt-set5-s-naborom-063-4981-1813770/
код: 16043395;Термоклеящий пистолет RAPID PRO EG340 5000327;"
    8 500 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-rapid-pro-eg340-5000327-1151948/
код: 20832183;Аккумуляторный клеевой пистолет TDM SQ1024-0110;"
    3 030 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/akkumulyatornyj-kleevoj-pistolet-tdm-sq1024-0110-2827802/
код: 26156669;Термоклеевой электрический пистолет ЗУБР Мастер 7, d 7 мм, 5 г/мин 06851-7;"
    455 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/master-7-pistolet-termokleevoj-elektricheskij-d-7-mm-5-g-min-zubr-06851-7-7709554/
код: 25178469;Клеевой пистолет КВТ КП-20-7 87964;"
    880 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-kleevoj-kp-20-7-kvt-87964-6776503/
код: 15906920;Клеевой пистолет Rexant ProfiMax 280 Вт 12-0119;"
    1 408 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-profimax-280-vt-12-0119-974530/
код: 15545113;Клеевой пистолет Зубр ЭКСПЕРТ 06851-80-12_z02;"
    2 757 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-zubr-ekspert-06851-80-12-z02-756270/
код: 16043386;Термоклеящий пистолет RAPID EG212 5000442;"
    1 471 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-rapid-eg212-5000442-1151945/
код: 16395990;Клеевой пистолет TUNDRA переключатель мощности 60/100 Вт, 220 В, антикапля, 11 мм 1221435;"
    892 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-tundra-1221435-1451603/
код: 16504174;Клеевой термопистолет DEKO DKGG150 150Вт, SET2, с функцией THERMAL CONTROL, набор клеевых стержней 063-4973;"
    1 390 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg150-150vt-set2-s-funktsiej-thermal-control-nabor-kleevyh-sterzhnej-063-4973-1762009/
код: 26519042;Термоклеевой пистолет TEC 195С 305-12;"
    3 246 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-tec-195s-305-12-7598167/
код: 16197334;Клеевой пистолет REXANT ЭКСПЕРТ 12-1533;"
    1 273 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-ekspert-12-1533-1298463/
код: 15541463;Клеевой пистолет TOPEX 42E511;"
    2 142 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-topex-42e511-771972/
код: 18169609;Клеевой пистолет TDM КП-40-1 Гранит SQ1024-0304;"
    680 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-tdm-kp-40-1-granit-sq1024-0304-1854528/
код: 17413512;Клеевой термопистолет DEKO DKGG30 30Вт SET2 с набором клеевых стержней 063-4979;"
    350 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-termopistolet-deko-dkgg30-30vt-set2-s-naborom-kleevyh-sterzhnej-063-4979-1813767/
код: 18788508;Клеевой пистолет Kolner KGG 7/40 40Вт, клеевые стержни 7мм, кн7-40;"
    407 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-kolner-kgg-7-40-40vt-kleevye-sterzhni-7mm-kn7-40-1926566/
код: 25178439;Клеевой пистолет КВТ КП-40-7 87965;"
    1 108 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-kleevoj-kp-40-7-kvt-87965-6776299/
код: 16043428;Термоклеящий пистолет RAPID EG Point 5000432;"
    935 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-rapid-eg-point-5000432-1151957/
код: 20626756;Термоклеевой пистолет для стержней Mebax Kleyman 200 00-00001538;"
    17 112 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-dlya-sterzhnej-mebax-kleyman-200-00-00001538-2248618/
код: 25238277;Клеевой аккумуляторный пистолет HOTO Lithium 5В QWRJQ001;"
    2 137 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-akkumulyatornyj-pistolet-hoto-lithium-5v-qwrjq001-7237934/
код: 21170158;Клеевой пистолет Ladina 20w 500-100;"
    239 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-ladina-20w-500-100-2789876/
код: 22405023;Клеевой пистолет MATRIX 93003;"
    538 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-matrix-93003-4104858/
код: 21164830;Клеевой пистолет Viking GV-40 95588142;"
    1 070 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-viking-gv-40-95588142-2633186/
код: 22675635;Клеевой пистолет GROSSMEISTER D7 мм, 10W 014001001;"
    149 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-grossmeister-d7-mm-10w-014001001-4204248/
код: 22405059;Клеевой пистолет SPARTA 93019;"
    605 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sparta-93019-4104834/
код: 24589317;Газовый клеевой пистолет МЕГЕОН 02400 к0000038191;"
    6 050 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/gazovyj-kleevoj-pistolet-megeon-02400-k0000038191-6090217/
код: 26448041;Пистолет для горячего склеивания Toolberg 100 Вт 8110002 90002511043;"
    828 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-goryachego-skleivaniya-toolberg-100vt-8110002-90002511043-8358171/
код: 24663759;Аккумуляторный клеевой пистолет DELI DL5045 (3,7В, 2Ач, диаметр стержня 7мм, в комплекте 10 стержней 7х100мм) 102983;"
    1 790 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-deli-dl5045-102983-6239425/
код: 16043402;Термоклеящий пистолет RAPID PRO EG320 5000326;"
    4 791 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-rapid-pro-eg320-5000326-1151431/
код: 16395984;Клеевой пистолет ТУНДРА 20 Вт, 220 В, выключатель, индикатор, длинное сопло, 7 мм 1026054;"
    307 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-tundra-20-vt-220-v-vyklyuchatel-indikator-dlinnoe-soplo-7-mm-1026054-1451601/
код: 15985527;Клеевой пистолет REDVERG RD-GG80 6621691;"
    490 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-redverg-rd-gg80-6621691-1104612/
код: 16197389;Клеевой пистолет REXANT ЭКСПЕРТ 12-1511;"
    754 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-ekspert-12-1511-1289146/
код: 22405065;Клеевой пистолет SPARTA 93020;"
    711 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sparta-93020-4991160/
код: 15943966;Термоклеевой пистолет КЕДР 52 100;"
    302 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleevoj-pistolet-kedr-52-100-1070367/
код: 18446143;Клеевой пистолет Pobedit Profi 200 Вт 9050093;"
    1 025 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-pobedit-profi-200-vt-9050093-1944550/
код: 15906823;Клеевой пистолет Rexant 60 Вт/100 Вт 12-0116;"
    772 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-60-vt-100-vt-12-0116-974538/
код: 15843716;Клеевой пистолет Энкор PT80 11 мм 50347;"
    910 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-enkor-pt80-11-mm-50347-917319/
код: 23788767;Клеевой пистолет Navigator 93 275 nte-pk03-40w-7 40 вт 93275;"
    922 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-navigator-93-275-nte-pk03-40w-7-40-vt-93275-6440443/
код: 15906955;Клеевой пистолет Rexant ProfiMax 100 Вт 12-0118;"
    965 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-profimax-100-vt-12-0118-974466/
код: 16043356;Термоклеящий пистолет RAPID CG270 5000443;"
    3 548 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/termokleyaschij-pistolet-rapid-cg270-5000443-1151939/
код: 16228901;Профессиональный двухрежимный клеевой пистолет с защитным клапаном HARDEN 100 W 660371;"
    1 055 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/professionalnyj-dvuhrezhimnyj-kleevoj-pistolet-s-zaschitnym-klapanom-harden-100-w-660371-1347516/
код: 22405047;Клеевой пистолет SPARTA 93017;"
    427 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-sparta-93017-4104828/
код: 15906999;Клеевой пистолет Rexant 60 Вт 12-0107;"
    766 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/kleevoj-pistolet-rexant-60-vt-12-0107-974531/
код: 26448641;Пистолет для горячего склеивания Toolberg 40 Вт 8110001 90002511042;"
    637 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/pistolet-dlya-goryachego-skleivaniya-toolberg-40vt-8110001-90002511042-8358183/
