Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15827189;Бесщеточная угловая шлифмашина AEG BEWS18-125BL-0 4935464414;"
    13 041 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125bl-0-4935464414-903778/
код: 15278293;Аккумуляторная угловая шлифмашина Ryobi ONE+ R18AG-0 5133001903;"
    4 728 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-ryobi-one-r18ag-0-5133001903-667240/
код: 15642361;Бесщеточная углошлифмашина Ryobi ONE+ R18AG7-0 5133002852;"
    12 250 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-ugloshlifmashina-ryobi-one-r18ag7-0-5133002852-830867/
код: 15827190;Бесщеточная угловая шлифмашина AEG BEWS18-125BLPX-0 4935464419;"
    17 642 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125blpx-0-4935464419-903779/
код: 15863332;Бесщеточная угловая шлифмашина AEG BEWS 18-125BL LI-502C 4935464417;"
    42 188 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews-18-125bl-li-502c-4935464417-937452/
код: 15863334;Бесщеточная угловая шлифмашина AEG BEWS18-125BL PX-602C 4935464422;"
    50 060 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-aeg-bews18-125bl-px-602c-4935464422-937451/
код: 15857666;Угловая шлифмашина Makita LXT DGA511Z;"
    33 746 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-shlifmashina-makita-lxt-dga511z-932501/
код: 27138356;Аккумуляторная УШМ Bosch GWS 180-LI + батареи + ЗУ 06019H9081;"
    33 245 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-ushm-bosch-gws-180-li-batarei-zu-06019h9081-8359953/
код: 16603538;Полировальная машина Ryobi ONE+ R18P-0 5133004845;"
    10 384 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovalnaya-mashina-ryobi-one-r18p-0-5133004845-1630914/
код: 17617722;Угловая шлифовальная машинка ЗУБР УШМ-18-125-41;"
    12 930 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-shlifovalnaya-mashinka-zubr-ushm-18-125-41-1784009/
код: 15734972;Бесщеточная ленточная шлифмашина AEG BHBS18-75BL-0 4935459582;"
    20 533 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-lentochnaya-shlifmashina-aeg-bhbs18-75bl-0-4935459582-861533/
код: 16523007;Углошлифовальная машина Zitrek AG 20 Pro 125мм 063-4066;"
    4 436 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ugloshlifovalnaya-mashina-zitrek-ag-20-pro-125mm-063-4066-1761734/
код: 24456717;Угловая аккумуляторная бесщеточная шлифмашина WORX Professional WU809.1 20В, 125мм, 4Ач х2, ЗУ WU809.1;"
    29 990 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-akkumulyatornaya-besschetochnaya-shlifmashina-worx-20v-125mm-4ach-h2-zu-wu809-1-5968579/
код: 16393269;Бесщеточная угловая шлифмашина ЗУБР Профессионал 2 АКБ, 4Ач, 20В AB-125-42;"
    23 020 р.

    ";"
    В наличии
    9
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifovalnaya-mashina-zubr-professional-20v-ab-125-42-1442553/
код: 16532659;Аккумуляторная угловая шлифмашина P.I.T. PWS20H-125C/1;"
    7 776 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-p-i-t-pws20h-125c-1-1605550/
код: 16523011;Углошлифовальная машина Zitrek AG 20 Pro 063-4067;"
    6 310 р.

    ";"
    В наличии
    23
    шт.
  ";https://spb.vseinstrumenti.ru/product/ugloshlifovalnaya-mashina-zitrek-ag-20-pro-063-4067-1761737/
код: 15515591;Полировщик Ryobi ONE+ R18B-0 5133002465;"
    5 614 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/polirovschik-ryobi-one-r18b-0-5133002465-734937/
код: 16045457;Аккумуляторная угловая шлифмашина WORX WX803;"
    20 190 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-worx-wx803-1149297/
код: 22932063;Бесщеточная угловая шлифмашина ЗУБР Профессионал 12 В, без АКБ, в коробке AB-76;"
    6 890 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-uglovaya-shlifmashina-zubr-professional-12-v-bez-akb-v-korobke-ab-76-5168563/
код: 18115705;Аккумуляторная угловая шлифмашина Milwaukee M18 FSAG125XB-502X FUEL 4933478430;"
    47 490 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-milwaukee-m18-fsag125xb-502x-fuel-4933478430-1829466/
код: 18365569;Угловая шлифовальная машина ЗУБР УШМ-18-125;"
    5 490 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-shlifovalnaya-mashina-zubr-ushm-18-125-1854858/
код: 16532585;Аккумуляторная бесщеточная шлифмашина P.I.T. PWS20H-125A;"
    4 050 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-besschetochnaya-shlifmashina-p-i-t-pws20h-125a-1605522/
код: 16451865;Угловая бесщеточная аккумуляторная шлифмашина WORX WX812;"
    19 830 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-besschetochnaya-akkumulyatornaya-shlifmashina-worx-wx812-1525542/
код: 16822231;Угловая шлифмашина Hikoki G3623DA G3623DAR2Z;"
    17 371 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-shlifmashina-hikoki-g3623da-g3623dar2z-1648125/
код: 18089947;Угловая аккумуляторная шлифмашина Einhell PXC TE-AG 18/115 Li-Solo Acc 4431123;"
    5 719 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-akkumulyatornaya-shlifmashina-einhell-pxc-te-ag-18-115-li-solo-acc-4431123-1836893/
код: 16127030;Аккумуляторная угловая шлифмашина Einhell PXC TC-AG 18/115 Li-Solo 4431130;"
    4 287 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-einhell-pxc-tc-ag-18-115-li-solo-4431130-1203014/
код: 16502790;Аккумуляторная угловая шлифмашина Bosch GWS 18V-10 06019J4004;"
    43 882 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-bosch-gws-18v-10-06019j4004-1585816/
код: 16381223;Углошлифовальная машина DEKO DKAG20-125 063-2150;"
    5 750 р.

    ";"
    В наличии
    18
    шт.
  ";https://spb.vseinstrumenti.ru/product/ugloshlifovalnaya-mashina-deko-dkag20-125-063-2150-1502686/
код: 16609748;Угловая шлифмашина Einhell PXC TE-AG 18-150 Li BL-Solo 4431144;"
    9 776 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/uglovaya-shlifmashina-einhell-pxc-te-ag-18-150-li-bl-solo-4431144-1628688/
код: 26199593;Аккумуляторная щеточно-шлифовальная машина Felisatti ШМ-110/18Л3 5706.5.0.00;"
    8 873 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-schetochno-shlifovalnaya-mashina-felisatti-shm-110-18l3-5706-5-0-00-7827950/
код: 16382806;Углошлифовальная машина DEKO DKAG20-125, 2х4.0 Ач 063-2151;"
    7 706 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/ugloshlifovalnaya-mashina-deko-dkag20-125-2h4-0-ach-063-2151-1444167/
код: 16532625;Аккумуляторная бесщеточная шлифмашина P.I.T. PWS20H-125A/1;"
    7 971 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-besschetochnaya-shlifmashina-p-i-t-pws20h-125a-1-1605536/
код: 16045456;Аккумуляторная угловая шлифмашина WORX кейс WX800;"
    12 751 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/akkumulyatornaya-uglovaya-shlifmashina-worx-kejs-wx800-1154156/
код: 20670718;Бесщеточная аккумуляторная эксцентриковая шлифмашина Интерскол ЭПМ-150/18ВЭ 691.1.0.70;"
    10 305 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/besschetochnaya-akkumulyatornaya-ekstsentrikovaya-shlifmashina-interskol-epm-150-18ve-691-1-0-70-2198375/
